Designator,Mid X,Mid Y,Layer,Rotation
XOR_IC4, 3.80,25.61,Top,0.0
XOR_IC5,25.31,25.61,Top,0.0
XOR_IC6,46.82,25.61,Top,0.0
XOR_IC7,68.33,25.61,Top,0.0
XOR_IC8, 3.80,44.62,Top,0.0
XOR_IC9,25.31,44.62,Top,0.0
XOR_IC10,46.82,44.62,Top,0.0
XOR_IC11,68.33,44.62,Top,0.0
XOR_IC12, 3.80,63.63,Top,0.0
XOR_IC13,25.31,63.63,Top,0.0
XOR_IC14,46.82,63.63,Top,0.0
XOR_IC15,68.33,63.63,Top,0.0
